stage,roc_auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,brier_score,tn,fp,fn,tp,threshold
Stage 1 - Routine risk factors,0.6435636467889908,0.4767932489451477,0.515625,1.0,0.03125,0.4678111587982833,0.23678367462384287,4,124,0,109,0.1
Stage 1 - Routine risk factors,0.6435636467889908,0.5021097046413502,0.5383815940366973,0.9908256880733946,0.0859375,0.48,0.23678367462384287,11,117,1,108,0.2
Stage 1 - Routine risk factors,0.6435636467889908,0.5358649789029536,0.5607798165137614,0.8715596330275229,0.25,0.4973821989528796,0.23678367462384287,32,96,14,95,0.3
Stage 1 - Routine risk factors,0.6435636467889908,0.569620253164557,0.5797735091743119,0.7064220183486238,0.453125,0.5238095238095238,0.23678367462384287,58,70,32,77,0.4
Stage 1 - Routine risk factors,0.6435636467889908,0.6244725738396625,0.6196602637614679,0.5596330275229358,0.6796875,0.5980392156862745,0.23678367462384287,87,41,48,61,0.5
Stage 1 - Routine risk factors,0.6435636467889908,0.5949367088607594,0.5725702408256881,0.29357798165137616,0.8515625,0.6274509803921569,0.23678367462384287,109,19,77,32,0.6
Stage 1 - Routine risk factors,0.6435636467889908,0.540084388185654,0.5047663417431193,0.06422018348623854,0.9453125,0.5,0.23678367462384287,121,7,102,7,0.7
Stage 1 - Routine risk factors,0.6435636467889908,0.5443037974683544,0.5059489678899083,0.027522935779816515,0.984375,0.6,0.23678367462384287,126,2,106,3,0.8
Stage 1 - Routine risk factors,0.6435636467889908,0.540084388185654,0.5,0.0,1.0,0.0,0.23678367462384287,128,0,109,0,0.9
Stage 2 - Symptoms and resting ECG,0.7818233944954128,0.5063291139240507,0.5416069380733946,0.981651376146789,0.1015625,0.481981981981982,0.18757037169701862,13,115,2,107,0.1
Stage 2 - Symptoms and resting ECG,0.7818233944954128,0.6033755274261603,0.6266843463302753,0.9174311926605505,0.3359375,0.5405405405405406,0.18757037169701862,43,85,9,100,0.2
Stage 2 - Symptoms and resting ECG,0.7818233944954128,0.6877637130801688,0.700043004587156,0.8532110091743119,0.546875,0.6158940397350994,0.18757037169701862,70,58,16,93,0.3
Stage 2 - Symptoms and resting ECG,0.7818233944954128,0.729957805907173,0.7370627866972477,0.8256880733944955,0.6484375,0.6666666666666666,0.18757037169701862,83,45,19,90,0.4
Stage 2 - Symptoms and resting ECG,0.7818233944954128,0.7426160337552743,0.7426533830275229,0.7431192660550459,0.7421875,0.7105263157894737,0.18757037169701862,95,33,28,81,0.5
Stage 2 - Symptoms and resting ECG,0.7818233944954128,0.7215189873417721,0.7122276376146789,0.5963302752293578,0.828125,0.7471264367816092,0.18757037169701862,106,22,44,65,0.6
Stage 2 - Symptoms and resting ECG,0.7818233944954128,0.6835443037974683,0.6654959862385321,0.44036697247706424,0.890625,0.7741935483870968,0.18757037169701862,114,14,61,48,0.7
Stage 2 - Symptoms and resting ECG,0.7818233944954128,0.620253164556962,0.5919223050458715,0.23853211009174313,0.9453125,0.7878787878787878,0.18757037169701862,121,7,83,26,0.8
Stage 2 - Symptoms and resting ECG,0.7818233944954128,0.5527426160337553,0.514442373853211,0.03669724770642202,0.9921875,0.8,0.18757037169701862,127,1,105,4,0.9
Stage 3 - Exercise stress test,0.8436066513761469,0.4978902953586498,0.5337944380733946,0.981651376146789,0.0859375,0.47767857142857145,0.15987619888395727,11,117,2,107,0.1
Stage 3 - Exercise stress test,0.8436066513761469,0.620253164556962,0.6443520642201834,0.944954128440367,0.34375,0.5508021390374331,0.15987619888395727,44,84,6,103,0.2
Stage 3 - Exercise stress test,0.8436066513761469,0.7215189873417721,0.734016628440367,0.8899082568807339,0.578125,0.6423841059602649,0.15987619888395727,74,54,12,97,0.3
Stage 3 - Exercise stress test,0.8436066513761469,0.7383966244725738,0.7421516628440368,0.7889908256880734,0.6953125,0.688,0.15987619888395727,89,39,23,86,0.4
Stage 3 - Exercise stress test,0.8436066513761469,0.7552742616033755,0.7516485091743119,0.7064220183486238,0.796875,0.7475728155339806,0.15987619888395727,102,26,32,77,0.5
Stage 3 - Exercise stress test,0.8436066513761469,0.7848101265822784,0.7749068233944953,0.6513761467889908,0.8984375,0.8452380952380952,0.15987619888395727,115,13,38,71,0.6
Stage 3 - Exercise stress test,0.8436066513761469,0.7383966244725738,0.7217244839449541,0.5137614678899083,0.9296875,0.8615384615384616,0.15987619888395727,119,9,53,56,0.7
Stage 3 - Exercise stress test,0.8436066513761469,0.70042194092827,0.6770355504587156,0.3853211009174312,0.96875,0.9130434782608695,0.15987619888395727,124,4,67,42,0.8
Stage 3 - Exercise stress test,0.8436066513761469,0.6160337552742616,0.5825688073394495,0.1651376146788991,1.0,1.0,0.15987619888395727,128,0,91,18,0.9
Stage 4 - Advanced diagnostic tests,0.8724913990825688,0.5274261603375527,0.5611381880733946,0.981651376146789,0.140625,0.4930875576036866,0.14483501729454487,18,110,2,107,0.1
Stage 4 - Advanced diagnostic tests,0.8724913990825688,0.6540084388185654,0.6756020642201834,0.944954128440367,0.40625,0.5754189944134078,0.14483501729454487,52,76,6,103,0.2
Stage 4 - Advanced diagnostic tests,0.8724913990825688,0.70042194092827,0.7151662844036697,0.8990825688073395,0.53125,0.620253164556962,0.14483501729454487,68,60,11,98,0.3
Stage 4 - Advanced diagnostic tests,0.8724913990825688,0.7848101265822784,0.7878440366972477,0.8256880733944955,0.75,0.7377049180327869,0.14483501729454487,96,32,19,90,0.4
Stage 4 - Advanced diagnostic tests,0.8724913990825688,0.8312236286919831,0.8260464449541285,0.7614678899082569,0.890625,0.8556701030927835,0.14483501729454487,114,14,26,83,0.5
Stage 4 - Advanced diagnostic tests,0.8724913990825688,0.7763713080168776,0.7636897935779816,0.6055045871559633,0.921875,0.868421052631579,0.14483501729454487,118,10,43,66,0.6
Stage 4 - Advanced diagnostic tests,0.8724913990825688,0.7383966244725738,0.7196817660550459,0.48623853211009177,0.953125,0.8983050847457628,0.14483501729454487,122,6,56,53,0.7
Stage 4 - Advanced diagnostic tests,0.8724913990825688,0.6919831223628692,0.6671803325688074,0.3577981651376147,0.9765625,0.9285714285714286,0.14483501729454487,125,3,70,39,0.8
Stage 4 - Advanced diagnostic tests,0.8724913990825688,0.6413502109704642,0.6100917431192661,0.22018348623853212,1.0,1.0,0.14483501729454487,128,0,85,24,0.9
