feature,mean_abs_shap
ca,0.4677302505973007
thalach,0.3728385738012721
oldpeak,0.2877766180252593
thal_0,0.25214399192455056
cp_3,0.24751918559041822
thal_2,0.17717423223961942
exang,0.1706389707936654
cp_2,0.1474597322088743
slope_0,0.1300458365157086
sex,0.11119258401535863
trestbps,0.10892737524057593
restecg_0,0.08796746597468681
slope_1,0.06489411073653092
chol,0.059858785036385705
cp_0,0.032123041596123544
fbs,0.028420862082507957
cp_1,0.018626662844848447
restecg_2,0.006100277111132383
age,0.0051245491266546685
slope_2,0.004356298869555352
thal_1,0.003575747194541775
restecg_1,0.00043309994240604263
